id,_img_recruit,_img_recruit_back,_img_1,_img_1_back,_img_2,_img_2_back,_img_3,_img_3_back,_img_4,img_4_back,_img_5,_img_5_back,type,subtype,size,slots,source,box,faction,cost,platoon,orders,img_recruit,img_recruit_back,img_1,img_1_back,img_2,img_2_back,img_3,img_3_back,img_4,img_4_back.1,img_5,img_5_back,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
hon-v1-hon-core-ge-generic-recruitment_tile_helmut,,,,,,,,,,,,,rc-hero,0,,0,HoN-v1,hon-core,GE,20.0,generic,0.0,res/HoN-v1/hon-core/ge/generic/Recruitment_Tile_Helmut.A.png,res/HoN-v1/hon-core/ge/generic/Recruitment_Tile_Helmut.B.png,res/HoN-v1/hon-core/ge/generic/Helmut.A.png,res/HoN-v1/hon-core/ge/generic/Helmut.B.png,,,,,,,,,"=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345594367868741EA5742B3A73F156022DBE87715E2C92D94.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345594434146942512C81D11C335EB7B20732BD3B4A9F55B1.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345596545533BEAC7607AA85C47A661228873041718071488.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345596606299A52AB5D1B2AE454CD479A5E94ABB0EBCAAF5F.png"")",,,,,,,,
hon-v1-army-box-ge-ge-generic-recruitment-tile-fritz,,,,,,,,,,,,,rc-hero,0,,0,HoN-v1,army-box-ge,GE,0.0,generic,0.0,res/HoN-v1/army-box-ge/ge/generic/recruitment-tile-fritz.A.png,res/HoN-v1/army-box-ge/ge/generic/recruitment-tile-fritz.B.png,res/HoN-v1/army-box-ge/ge/generic/fritz.png,res/HoN-v1/army-box-ge/ge/generic/fritz.png,,,,,,,,,"=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc184930200134559627938F00D51743A13BF342A8AC7DD4EC1C33B01B29B.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc18493020013455963321E960FED4F3B3D8C138BADD21427400485DC8D62.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc184930200134558884705187870A5DF427E194BF2A9CD76B2D7E9FA9CB1.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc184930200134558884705187870A5DF427E194BF2A9CD76B2D7E9FA9CB1.png"")",,,,,,,,
hon-v1-hon-core-ge-generic-recruitment_tile_ludwig,,,,,,,,,,,,,rc-hero,0,,0,HoN-v1,hon-core,GE,25.0,generic,0.0,res/HoN-v1/hon-core/ge/generic/Recruitment_Tile_Ludwig.A.png,res/HoN-v1/hon-core/ge/generic/Recruitment_Tile_Ludwig.B.png,res/HoN-v1/hon-core/ge/generic/Ludwig.A.png,res/HoN-v1/hon-core/ge/generic/Ludwig.B.png,,,,,,,,,"=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc18493020013455846327451163163F01873742043B04689EA62C83BC9F7.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345584681645A4652C750D1B41A110AF70857F512DC9A917F.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc18493020013455875563874DB2DF7D00BDBEC8DCCDB12445049F677E2C5.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345587605038794071FE193B49AE882992A8766D751793A56.png"")",,,,,,,,
hon-v1-promo-heroes-2014-ge-generic-recruitment-tile-siegfried,,,,,,,,,,,,,rc-hero,0,,0,HoN-v1,promo-heroes-2014,GE,30.0,generic,0.0,res/HoN-v1/promo-heroes-2014/ge/generic/recruitment-tile-siegfried.A.png,res/HoN-v1/promo-heroes-2014/ge/generic/recruitment-tile-siegfried.B.png,res/HoN-v1/promo-heroes-2014/ge/generic/siegfried.A.png,res/HoN-v1/promo-heroes-2014/ge/generic/siegfried.B.png,,,,,,,,,"=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc18493020013455763216BF381C6B951B8F94076A5834F9A98AF5F69FA20.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345576370E10B7A52C48637B789502D43A40E91257CAFF8AA.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345576116162E7450DE1AF2C0236498A1233CDDFA090F39A0.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345576220E17252DD49FE8DB40092B7A3D1C4388D07DE27E0.png"")",,,,,,,,
hon-v1-hon-core-ge-generic-recruitment_tile_otto,,,,,,,,,,,,,rc-hero,0,,0,HoN-v1,hon-core,GE,75.0,generic,0.0,res/HoN-v1/hon-core/ge/generic/Recruitment_Tile_Otto.A.png,res/HoN-v1/hon-core/ge/generic/Recruitment_Tile_Otto.B.png,res/HoN-v1/hon-core/ge/generic/Otto.A.png,res/HoN-v1/hon-core/ge/generic/Otto.B.png,,,,,,,,,"=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345588597102CA4B9DB8204E8D0A5476B44E404568DA7C8C0.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345588660765203A9F8ECED08419D365F86AF6C312F6550F7.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc184930200134559127787E698B059B0D53FA6B47C302C2AF93AD850412C.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc184930200134559136535A0BD956FFB1E9E962DD6831B8A7BEAD0E43948.png"")",,,,,,,,
hon-v1-ss-panzergrenadiere-ge-ss-panzergrenadiere-recruitment-tile-von-kamptz,,,,,,,,,,,,,rc-hero,0,,0,HoN-v1,ss-panzergrenadiere,GE,30.0,ss-panzergrenadiere,1.0,res/HoN-v1/ss-panzergrenadiere/ge/ss-panzergrenadiere/recruitment-tile-von-kamptz.A.png,res/HoN-v1/ss-panzergrenadiere/ge/ss-panzergrenadiere/recruitment-tile-von-kamptz.B.png,res/HoN-v1/ss-panzergrenadiere/ge/ss-panzergrenadiere/von-kampts.A.png,res/HoN-v1/ss-panzergrenadiere/ge/ss-panzergrenadiere/von-kampts.B.png,,,,,,,,,"=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc184930200134557434704B61BDA6750DE414A0E2AB6DDEE2010FACF4636.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345574409801558F724FD785FD47B45EAFCF73AC0AA5DB765.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc184930200134557463515AACEA5A765BFC825C81F03875BB171E215386F.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345574692C7E5E43A9DDEBFB05DD685AAA837D8751385CDCF.png"")",,,,,,,,
hon-v1-army-box-ge-ge-sturmpioniere-recruitment-tile-oros-snowt,,,,,,,,,,,,,rc-hero,0,,0,HoN-v1,army-box-ge,GE,35.0,sturmpioniere,0.0,res/HoN-v1/army-box-ge/ge/sturmpioniere/recruitment-tile-oros-snowt.A.png,res/HoN-v1/army-box-ge/ge/sturmpioniere/recruitment-tile-oros-snowt.B.png,res/HoN-v1/army-box-ge/ge/sturmpioniere/o-snowt.A.png,res/HoN-v1/army-box-ge/ge/sturmpioniere/o-snowt.B.png,,,,,,,,,"=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc184930200134558736074B73F51D99DC69E70A4FD8BBC6C5A5BAEE2A1B4.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc18493020013455874099068A1648EC067B4233C44C6D0FDA7ACD3A2B8A5.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc18493020013455831424DA988AECC66E8D384814E3AF8BB05C7B28F06FF.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345583182E38FF40D0569C6E3917D1B40758F028740ED7D8A.png"")",,,,,,,,
hon-v1-gazette-1-ge-generic-recruitment-tile-minefield-small,,,,,,,,,,,,,gear,0,,0,HoN-v1,gazette-1,GE,50.0,generic,0.0,res/HoN-v1/gazette-1/ge/generic/recruitment-tile-minefield-small.png,res/HoN-v1/gazette-1/ge/generic/recruitment-tile-minefield-small.png,res/HoN-v1/gazette-1/ge/generic/recruitment-tile-minefield-small.png,res/HoN-v1/gazette-1/ge/generic/recruitment-tile-minefield-small.png,,,,,,,,,"=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345554145A809EBFF7DF6759E0DA3FBB442725674BCB208F6.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345554145A809EBFF7DF6759E0DA3FBB442725674BCB208F6.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345554145A809EBFF7DF6759E0DA3FBB442725674BCB208F6.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345554145A809EBFF7DF6759E0DA3FBB442725674BCB208F6.png"")",,,,,,,,
hon-v1-gazette-1-ge-generic-recruitment-tile-minefield-large,,,,,,,,,,,,,gear,0,,0,HoN-v1,gazette-1,GE,45.0,generic,0.0,res/HoN-v1/gazette-1/ge/generic/recruitment-tile-minefield-large.png,res/HoN-v1/gazette-1/ge/generic/recruitment-tile-minefield-large.png,res/HoN-v1/gazette-1/ge/generic/recruitment-tile-minefield-large.png,res/HoN-v1/gazette-1/ge/generic/recruitment-tile-minefield-large.png,,,,,,,,,"=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc184930200134555410174D27A454701B1C22CCD282D27D84679BCBD8825.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc184930200134555410174D27A454701B1C22CCD282D27D84679BCBD8825.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc184930200134555410174D27A454701B1C22CCD282D27D84679BCBD8825.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc184930200134555410174D27A454701B1C22CCD282D27D84679BCBD8825.png"")",,,,,,,,
hon-v1-karl-von-croc-ge-generic-recruitment-tile,,,,,,,,,,,,,rc-hero,0-G1,,0-G1,HoN-v1,karl-von-croc,GE,30.0,generic,0.0,res/HoN-v1/karl-von-croc/ge/generic/recruitment-tile.A.png,res/HoN-v1/karl-von-croc/ge/generic/recruitment-tile.B.png,res/HoN-v1/karl-von-croc/ge/generic/croc.A.png,res/HoN-v1/karl-von-croc/ge/generic/croc.B.png,,,,,,,,,"=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc184930200134557642241BD3AC23B8BED1F1186247C0146E499791637C2.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc184930200134557648065772AE20A5D9189BB83D1A0C94FF1F8CCF109D0.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc1849302001345576530CCD0E0172F47B71D77C5C3FC2B64D33C3E86C2DC.png"")","=IMAGE(""https://raw.githubusercontent.com/JHunter101/HoN-Assisstant/main/res/tiles/V1-GE/httpcloud3steamusercontentcomugc18493020013455765809BC3B4A6C8119C7FD51BE0BEB427670C18E10256.png"")",,,,,,,,
