id,_img_recruit,_img_recruit_back,_img_1,_img_1_back,_img_2,_img_2_back,_img_3,_img_3_back,_img_4,_img_4_back,_img_5,_img_5_back,type,subtype,size,slots,cost,orders,source,box,faction,platoon,img_recruit,img_recruit_back,img_1,img_1_back,img_2,img_2_back,img_3,img_3_back,img_4,img_4_back,img_5,img_5_back
HoN-v1-army-box-cw-cw-command-option-airstrike-x1,,,,,,,,,,,,,gear,1,1,N/A,10,0,HoN-v1,army-box-cw,CW,command,res/HoN-v1/army-box-cw/cw/command/option-airstrike-x1.png,res/HoN-v1/army-box-cw/cw/command/option-airstrike-x1.png,res/HoN-v1/army-box-cw/cw/command/option-airstrike-x1.png,res/HoN-v1/army-box-cw/cw/command/option-airstrike-x1.png,,,,,,,,
HoN-v1-army-box-cw-cw-command-option-artillery-x1,,,,,,,,,,,,,gear,1,1,N/A,15,0,HoN-v1,army-box-cw,CW,command,res/HoN-v1/army-box-cw/cw/command/option-artillery-x1.png,res/HoN-v1/army-box-cw/cw/command/option-artillery-x1.png,res/HoN-v1/army-box-cw/cw/command/option-artillery-x1.png,res/HoN-v1/army-box-cw/cw/command/option-artillery-x1.png,,,,,,,,
HoN-v1-army-box-cw-cw-command-option-concealed-ab,,,,,,,,,,,,,gear,1,1,N/A,10,0,HoN-v1,army-box-cw,CW,command,res/HoN-v1/army-box-cw/cw/command/option-concealed-ab.png,res/HoN-v1/army-box-cw/cw/command/option-concealed-ab.png,res/HoN-v1/army-box-cw/cw/command/option-concealed-ab.png,res/HoN-v1/army-box-cw/cw/command/option-concealed-ab.png,,,,,,,,
HoN-v1-army-box-cw-cw-command-option-directive-x1,,,,,,,,,,,,,gear,1,1,N/A,15,0,HoN-v1,army-box-cw,CW,command,res/HoN-v1/army-box-cw/cw/command/option-directive-x1.png,res/HoN-v1/army-box-cw/cw/command/option-directive-x1.png,res/HoN-v1/army-box-cw/cw/command/option-directive-x1.png,res/HoN-v1/army-box-cw/cw/command/option-directive-x1.png,,,,,,,,
HoN-v1-army-box-cw-cw-command-option-initiative,,,,,,,,,,,,,gear,1,1,N/A,10,0,HoN-v1,army-box-cw,CW,command,res/HoN-v1/army-box-cw/cw/command/option-initiative.png,res/HoN-v1/army-box-cw/cw/command/option-initiative.png,res/HoN-v1/army-box-cw/cw/command/option-initiative.png,res/HoN-v1/army-box-cw/cw/command/option-initiative.png,,,,,,,,
HoN-v1-army-box-cw-cw-command-option-planning,,,,,,,,,,,,,gear,1,1,N/A,10,1,HoN-v1,army-box-cw,CW,command,res/HoN-v1/army-box-cw/cw/command/option-planning.png,res/HoN-v1/army-box-cw/cw/command/option-planning.png,res/HoN-v1/army-box-cw/cw/command/option-planning.png,res/HoN-v1/army-box-cw/cw/command/option-planning.png,,,,,,,,
HoN-v1-army-box-cw-cw-command-option-smoke-x3,,,,,,,,,,,,,gear,1,1,N/A,10,0,HoN-v1,army-box-cw,CW,command,res/HoN-v1/army-box-cw/cw/command/option-smoke-x3.png,res/HoN-v1/army-box-cw/cw/command/option-smoke-x3.png,res/HoN-v1/army-box-cw/cw/command/option-smoke-x3.png,res/HoN-v1/army-box-cw/cw/command/option-smoke-x3.png,,,,,,,,
HoN-v1-army-box-cw-cw-command-option-airstrike-x3,,,,,,,,,,,,,gear,2,2,N/A,20,0,HoN-v1,army-box-cw,CW,command,res/HoN-v1/army-box-cw/cw/command/option-airstrike-x3.png,res/HoN-v1/army-box-cw/cw/command/option-airstrike-x3.png,res/HoN-v1/army-box-cw/cw/command/option-airstrike-x3.png,res/HoN-v1/army-box-cw/cw/command/option-airstrike-x3.png,,,,,,,,
HoN-v1-army-box-cw-cw-command-option-artillery-x3,,,,,,,,,,,,,gear,2,2,N/A,30,0,HoN-v1,army-box-cw,CW,command,res/HoN-v1/army-box-cw/cw/command/option-artillery-x3.png,res/HoN-v1/army-box-cw/cw/command/option-artillery-x3.png,res/HoN-v1/army-box-cw/cw/command/option-artillery-x3.png,res/HoN-v1/army-box-cw/cw/command/option-artillery-x3.png,,,,,,,,
HoN-v1-army-box-cw-cw-command-option-battle-plan,,,,,,,,,,,,,gear,2,2,N/A,25,0,HoN-v1,army-box-cw,CW,command,res/HoN-v1/army-box-cw/cw/command/option-battle-plan.png,res/HoN-v1/army-box-cw/cw/command/option-battle-plan.png,res/HoN-v1/army-box-cw/cw/command/option-battle-plan.png,res/HoN-v1/army-box-cw/cw/command/option-battle-plan.png,,,,,,,,
HoN-v1-army-box-cw-cw-command-option-concealed-cd,,,,,,,,,,,,,gear,2,2,N/A,10,0,HoN-v1,army-box-cw,CW,command,res/HoN-v1/army-box-cw/cw/command/option-concealed-cd.png,res/HoN-v1/army-box-cw/cw/command/option-concealed-cd.png,res/HoN-v1/army-box-cw/cw/command/option-concealed-cd.png,res/HoN-v1/army-box-cw/cw/command/option-concealed-cd.png,,,,,,,,
HoN-v1-army-box-cw-cw-command-option-directive-x3,,,,,,,,,,,,,gear,2,2,N/A,40,0,HoN-v1,army-box-cw,CW,command,res/HoN-v1/army-box-cw/cw/command/option-directive-x3.png,res/HoN-v1/army-box-cw/cw/command/option-directive-x3.png,res/HoN-v1/army-box-cw/cw/command/option-directive-x3.png,res/HoN-v1/army-box-cw/cw/command/option-directive-x3.png,,,,,,,,
